Product,Maincategory,Subcategory,Producttype,Brand
I phone,Electronics,PHONE,Apple smart Phone,Apple
Pepe Jeans,Men,BOTTOM WEAR,Jeans,Peter England
DOUBLE BED SHEET,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,BIANCA GEO TOKYO
DOUBLE BED SHEET ,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,NAUTICA WEST PORT
DOUBLE BEDSHEET,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,NAUTICA PACIFIC COAST
OLA CANDY,Beauty,NAILS,NAIL POLISH,OLA CANDY
SPLENDOR DOOR MAT,Home & Lifestyle,HOME ACCESSORIES,DOOR MAT ,BIANCA
COASTRAL STRIPE BEED SHEET,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,COASTAL STRIPE 
HAMPTON BEDSHEET,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,NAUTICA HAMPTON
DOUBLE BED SHEET ,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,NAUTICA WEST PORT
DOUBLE BED SHEET ,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,NAUTICA WEST PORT
DOUBLE BED SHEET ,Home & Lifestyle,HOME ACCESSORIES,   BEDSHEET   ,NAUTICA
FULL SLEVE SHIRT NORMAL,Men,TOP WEAR,CASUAL SHIRTS,BIANCA THREAD CO
Tumbler Big,Home & Lifestyle,HOME ACCESSORIES,  TUMBLER  ,Nautica
Tumbler Small,Home & Lifestyle,HOME ACCESSORIES,  TUMBLER  ,Nautica
Cranberry D-Tan,Beauty,SKIN CARE, BODY SCRUB  ,O3+
Under Eye Cream ,Beauty,SKIN CARE,ANTI DIRK CIRCLE CREAM ,O3+
Anti Ageing Cream SPF60,Beauty,SKIN CARE,   DAY CREAM,O3+
